Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
5,23.0833333,-0.4316798,76.6666667,-0.7886383,76.6666667
6,23.0833333,-0.125364,75.6666667,-0.5886383,75.6666667
7,23.0833333,0.1614781,74.6666667,-0.3886383,74.6666667
8,23.0833333,0.3472676,73.6666667,-0.1444278,73.6666667
9,23.0833333,0.7051623,73.6666667,-0.0560068,73.6666667
10,23.0833333,0.9235834,72.6666667,0.1460985,72.6666667
11,23.0833333,1.1314781,71.6666667,0.3460985,71.6666667
12,23.0833333,1.4420044,71.6666667,0.5782038,71.6666667
13,23.0833333,1.7241097,70.6666667,0.7445195,70.6666667
14,23.0833333,1.996215,69.6666667,0.8750459,69.6666667
15,23.0833333,2.2525308,68.6666667,1.0571511,68.6666667
16,23.0833333,2.4925308,68.6666667,1.2629406,68.6666667
17,23.0833333,2.7388465,67.6666667,1.4850459,67.6666667
18,23.0833333,2.9388465,66.6666667,1.6671511,66.6666667
19,23.0833333,3.1883202,66.6666667,1.6797827,66.6666667
20,23.0833333,3.5288465,65.6666667,1.9313617,65.6666667
21,23.0833333,3.7593729,65.6666667,2.081888,65.6666667
1,23.1,-1.5973867,80.6666667,-1.6885256,80.6666667
2,23.1,-1.3684393,79.6666667,-1.5473414,79.6666667
3,23.1,-0.9818604,78.6666667,-1.3273414,78.6666667
4,23.1,-0.6662025,77.6666667,-1.1028677,77.6666667
5,23.1,-0.4318604,76.6666667,-0.7885256,76.6666667
6,23.1,-0.1251498,75.6666667,-0.5885256,75.6666667
7,23.1,0.1627449,74.6666667,-0.3885256,74.6666667
8,23.1,0.3482712,73.6666667,-0.1440519,73.6666667
9,23.1,0.7060344,73.6666667,-0.0551045,73.6666667
10,23.1,0.9249817,72.6666667,0.1471323,72.6666667
11,23.1,1.1327449,71.6666667,0.3471323,71.6666667
12,23.1,1.4439291,71.6666667,0.5793692,71.6666667
13,23.1,1.7261659,70.6666667,0.7460797,70.6666667
14,23.1,1.9984028,69.6666667,0.8772639,69.6666667
15,23.1,2.2551133,68.6666667,1.0595008,68.6666667
16,23.1,2.4951133,68.6666667,1.2650271,68.6666667
17,23.1,2.7418238,67.6666667,1.4872639,67.6666667
18,23.1,2.9418238,66.6666667,1.6695008,66.6666667
19,23.1,3.1906396,66.6666667,1.6829218,66.6666667
20,23.1,3.5318238,65.6666667,1.9339744,65.6666667
21,23.1,3.763008,65.6666667,2.0851586,65.6666667
1,23.1166667,-1.5973041,80.6666667,-1.6884128,80.6666667
2,23.1166667,-1.3678304,79.6666667,-1.5465707,79.6666667
3,23.1166667,-0.982041,78.6666667,-1.3265707,78.6666667
4,23.1166667,-0.665462,77.6666667,-1.1018338,77.6666667
5,23.1166667,-0.432041,76.6666667,-0.7884128,76.6666667
6,23.1166667,-0.1249357,75.6666667,-0.5884128,75.6666667
7,23.1166667,0.1640117,74.6666667,-0.3884128,74.6666667
8,23.1166667,0.3492748,73.6666667,-0.1436759,73.6666667
9,23.1166667,0.7069064,73.6666667,-0.0542023,73.6666667
10,23.1166667,0.9263801,72.6666667,0.1481662,72.6666667
11,23.1166667,1.1340117,71.6666667,0.3481662,71.6666667
12,23.1166667,1.4458538,71.6666667,0.5805346,71.6666667
13,23.1166667,1.7282222,70.6666667,0.7476398,70.6666667
14,23.1166667,2.0005906,69.6666667,0.879482,69.6666667
15,23.1166667,2.2576959,68.6666667,1.0618504,68.6666667
16,23.1166667,2.4976959,68.6666667,1.2671135,68.6666667
17,23.1166667,2.7448011,67.6666667,1.489482,67.6666667
18,23.1166667,2.9448011,66.6666667,1.6718504,66.6666667
19,23.1166667,3.192959,66.6666667,1.6860609,66.6666667
20,23.1166667,3.5348011,65.6666667,1.9365872,65.6666667
21,23.1166667,3.7666432,65.6666667,2.0884293,65.6666667
1,23.1333333,-1.5972216,80.6666667,-1.6883,80.6666667
2,23.1333333,-1.3672216,79.6666667,-1.5458,79.6666667
3,23.1333333,-0.9822216,78.6666667,-1.3258,78.6666667
4,23.1333333,-0.6647216,77.6666667,-1.1008,77.6666667
5,23.1333333,-0.4322216,76.6666667,-0.7883,76.6666667
6,23.1333333,-0.1247216,75.6666667,-0.5883,75.6666667
7,23.1333333,0.1652784,74.6666667,-0.3883,74.6666667
8,23.1333333,0.3502784,73.6666667,-0.1433,73.6666667
9,23.1333333,0.7077784,73.6666667,-0.0533,73.6666667
10,23.1333333,0.9277784,72.6666667,0.1492,72.6666667
11,23.1333333,1.1352784,71.6666667,0.3492,71.6666667
12,23.1333333,1.4477784,71.6666667,0.5817,71.6666667
13,23.1333333,1.7302784,70.6666667,0.7492,70.6666667
14,23.1333333,2.0027784,69.6666667,0.8817,69.6666667
15,23.1333333,2.2602784,68.6666667,1.0642,68.6666667
16,23.1333333,2.5002784,68.6666667,1.2692,68.6666667
17,23.1333333,2.7477784,67.6666667,1.4917,67.6666667
18,23.1333333,2.9477784,66.6666667,1.6742,66.6666667
19,23.1333333,3.1952784,66.6666667,1.6892,66.6666667
20,23.1333333,3.5377784,65.6666667,1.9392,65.6666667
21,23.1333333,3.7702784,65.6666667,2.0917,65.6666667
1,23.15,-1.597139,80.6666667,-1.6881872,80.6666667
2,23.15,-1.3666127,79.6666667,-1.5450293,79.6666667
3,23.15,-0.9824022,78.6666667,-1.3250293,78.6666667
4,23.15,-0.6639811,77.6666667,-1.0997662,77.6666667
5,23.15,-0.4324022,76.6666667,-0.7881872,76.6666667
6,23.15,-0.1245074,75.6666667,-0.5881872,75.6666667
7,23.15,0.1665452,74.6666667,-0.3881872,74.6666667
8,23.15,0.351282,73.6666667,-0.1429241,73.6666667
