Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
17,34.9166667,-0.3774361,82.3333333,19.5684423,0.2528947,82.3333333
18,34.9166667,-0.0266047,81.3333333,19.6484247,0.4628947,81.3333333
19,34.9166667,0.1681126,80.3333333,20.0961677,0.6828947,80.3333333
20,34.9166667,0.2060624,80.3333333,20.0759602,0.8663158,80.3333333
21,34.9166667,0.1354941,79.3333333,20.2778884,1.0628947,79.3333333
1,34.9333333,-4.293147,91.3333333,,-4.0286989,91.3333333
2,34.9333333,-3.9894628,91.3333333,,-3.7523831,91.3333333
3,34.9333333,-3.6494628,90.3333333,,-3.4797515,90.3333333
4,34.9333333,-3.3457786,90.3333333,,-3.2234357,90.3333333
5,34.9333333,-3.0794628,90.3333333,,-2.9508041,90.3333333
6,34.9333333,-2.8394628,90.3333333,,-2.6708041,90.3333333
7,34.9333333,-2.6357786,90.3333333,,-2.3344883,90.3333333
8,34.9333333,-2.3520944,90.3333333,,-2.0608041,90.3333333
9,34.9333333,-2.1520944,89.3333333,,-1.7371199,89.3333333
10,34.9333333,-1.9757786,89.3333333,,-1.3934357,89.3333333
11,34.9333333,-1.7757786,88.3333333,,-1.0997515,88.3333333
12,34.9333333,-1.673147,87.3333333,,-0.8597515,87.3333333
13,34.9333333,-1.493147,85.3333333,,-0.6397515,85.3333333
14,34.9333333,-1.1654594,84.3333333,18.5416774,-0.3960673,84.3333333
15,34.9333333,-1.1538454,83.3333333,19.0169853,-0.1760673,83.3333333
16,34.9333333,-0.834818,82.3333333,19.0921316,0.0602485,82.3333333
17,34.9333333,-0.3786025,82.3333333,19.5776939,0.2539327,82.3333333
18,34.9333333,-0.0270583,81.3333333,19.6573879,0.4639327,81.3333333
19,34.9333333,0.1688231,80.3333333,20.1053148,0.6839327,80.3333333
20,34.9333333,0.2064352,80.3333333,20.0853281,0.8676169,80.3333333
21,34.9333333,0.1389582,79.3333333,20.286661,1.0639327,79.3333333
1,34.95,-4.2914558,91.3333333,,-4.0271346,91.3333333
2,34.95,-3.9875084,91.3333333,,-3.7510819,91.3333333
3,34.95,-3.6475084,90.3333333,,-3.4789767,90.3333333
4,34.95,-3.3435611,90.3333333,,-3.2229241,90.3333333
5,34.95,-3.0775084,90.3333333,,-2.9508188,90.3333333
6,34.95,-2.8375084,90.3333333,,-2.6708188,90.3333333
7,34.95,-2.6335611,90.3333333,,-2.3347662,90.3333333
8,34.95,-2.3496137,90.3333333,,-2.0608188,90.3333333
9,34.95,-2.1496137,89.3333333,,-1.7368714,89.3333333
10,34.95,-1.9735611,89.3333333,,-1.3929241,89.3333333
11,34.95,-1.7735611,88.3333333,,-1.0989767,88.3333333
12,34.95,-1.6714558,87.3333333,,-0.8589767,87.3333333
13,34.95,-1.4914558,85.3333333,,-0.6389767,85.3333333
14,34.95,-1.1631839,84.3333333,18.5503294,-0.3950293,84.3333333
15,34.95,-1.1532098,83.3333333,19.0255021,-0.1750293,83.3333333
16,34.95,-0.8345013,82.3333333,19.1005998,0.0610233,82.3333333
17,34.95,-0.3797689,82.3333333,19.5869456,0.2549707,82.3333333
18,34.95,-0.0275118,81.3333333,19.6663512,0.4649707,81.3333333
19,34.95,0.1695337,80.3333333,20.114462,0.6849707,80.3333333
20,34.95,0.2068079,80.3333333,20.094696,0.8689181,80.3333333
21,34.95,0.1424223,79.3333333,20.2954336,1.0649707,79.3333333
1,34.9666667,-4.2897646,91.3333333,,-4.0255703,91.3333333
2,34.9666667,-3.985554,91.3333333,,-3.7497808,91.3333333
3,34.9666667,-3.645554,90.3333333,,-3.4782019,90.3333333
4,34.9666667,-3.3413435,90.3333333,,-3.2224124,90.3333333
5,34.9666667,-3.075554,90.3333333,,-2.9508334,90.3333333
6,34.9666667,-2.835554,90.3333333,,-2.6708334,90.3333333
7,34.9666667,-2.6313435,90.3333333,,-2.335044,90.3333333
8,34.9666667,-2.347133,90.3333333,,-2.0608334,90.3333333
9,34.9666667,-2.147133,89.3333333,,-1.7366229,89.3333333
10,34.9666667,-1.9713435,89.3333333,,-1.3924124,89.3333333
11,34.9666667,-1.7713435,88.3333333,,-1.0982019,88.3333333
12,34.9666667,-1.6697646,87.3333333,,-0.8582019,87.3333333
13,34.9666667,-1.4897646,85.3333333,,-0.6382019,85.3333333
14,34.9666667,-1.1609084,84.3333333,18.5589813,-0.3939913,84.3333333
15,34.9666667,-1.1525743,83.3333333,19.034019,-0.1739913,83.3333333
16,34.9666667,-0.8341846,82.3333333,19.109068,0.0617981,82.3333333
17,34.9666667,-0.3809353,82.3333333,19.5961972,0.2560087,82.3333333
18,34.9666667,-0.0279654,81.3333333,19.6753145,0.4660087,81.3333333
19,34.9666667,0.1702442,80.3333333,20.1236091,0.6860087,80.3333333
20,34.9666667,0.2071806,80.3333333,20.1040639,0.8702192,80.3333333
21,34.9666667,0.1458864,79.3333333,20.3042063,1.0660087,79.3333333
1,34.9833333,-4.2880733,91.3333333,,-4.024006,91.3333333
2,34.9833333,-3.9835996,91.3333333,,-3.7484797,91.3333333
3,34.9833333,-3.6435996,90.3333333,,-3.4774271,90.3333333
4,34.9833333,-3.3391259,90.3333333,,-3.2219007,90.3333333
5,34.9833333,-3.0735996,90.3333333,,-2.9508481,90.3333333
6,34.9833333,-2.8335996,90.3333333,,-2.6708481,90.3333333
7,34.9833333,-2.6291259,90.3333333,,-2.3353218,90.3333333
8,34.9833333,-2.3446523,90.3333333,,-2.0608481,90.3333333
9,34.9833333,-2.1446523,89.3333333,,-1.7363744,89.3333333
10,34.9833333,-1.9691259,89.3333333,,-1.3919007,89.3333333
11,34.9833333,-1.7691259,88.3333333,,-1.0974271,88.3333333
12,34.9833333,-1.6680733,87.3333333,,-0.8574271,87.3333333
13,34.9833333,-1.4880733,85.3333333,,-0.6374271,85.3333333
14,34.9833333,-1.1586329,84.3333333,18.5676333,-0.3929534,84.3333333
15,34.9833333,-1.1519387,83.3333333,19.0425358,-0.1729534,83.3333333
16,34.9833333,-0.8338679,82.3333333,19.1175362,0.0625729,82.3333333
17,34.9833333,-0.3821016,82.3333333,19.6054488,0.2570466,82.3333333
18,34.9833333,-0.0284189,81.3333333,19.6842778,0.4670466,81.3333333
19,34.9833333,0.1709548,80.3333333,20.1327563,0.6870466,80.3333333
20,34.9833333,0.2075534,80.3333333,20.1134318,0.8715203,80.3333333
21,34.9833333,0.1493505,79.3333333,20.3129789,1.0670466,79.3333333
1,35.0,-4.2863821,91.3333333,,-4.0224417,91.3333333
2,35.0,-3.9816452,91.3333333,,-3.7471786,91.3333333
3,35.0,-3.6416452,90.3333333,,-3.4766522,90.3333333
4,35.0,-3.3369084,90.3333333,,-3.2213891,90.3333333
5,35.0,-3.0716452,90.3333333,,-2.9508628,90.3333333
